Lat,Long,Province,Male,Female,UnknownGen,ThaiNation,ForeignNat,UnknownNat,Deaths,Cases
15.8926,104.741,Amnat Charoen,1,1,2,3,1,0,0,4
14.6235,100.349,Ang Thong,9,4,12,25,0,0,0,25
13.7718,100.624,Bangkok Metropolis,1262,1044,125,1937,482,12,25,2431
18.1488,103.711,Bueng Kan,0,0,0,0,0,0,0,0
14.82,102.957,Buriram,4,10,0,11,3,0,1,14
13.6065,101.425,Chachoengsao,25,13,2,40,0,0,1,40
15.1339,100.027,Chai Nat,4,3,1,8,0,0,0,8
16.0321,101.819,Chaiyaphum,5,5,0,10,0,0,0,10
12.8812,102.13,Chanthaburi,1,2,122,33,19,73,0,125
18.7931,98.7282,Chiang Mai,26,23,0,42,7,0,1,49
19.8476,99.8661,Chiang Rai,13,66,0,79,0,0,0,79
13.1915,101.202,Chon Buri,275,322,316,755,77,81,3,913
10.3443,99.0618,Chumphon,2,19,0,21,0,0,3,21
16.628,103.622,Kalasin,2,1,0,3,0,0,0,3
16.3304,99.5343,Kamphaeng Phet,2,0,0,2,0,0,0,2
14.5851,99.0467,Kanchanaburi,6,3,2,10,1,0,0,11
16.4087,102.578,Khon Kaen,3,6,0,9,0,0,0,9
8.14913,99.0202,Krabi,12,15,0,18,9,0,0,27
18.3267,99.5121,Lampang,2,3,2,7,0,0,0,7
18.1191,98.9548,Lamphun,2,2,1,5,0,0,0,5
17.409,101.636,Loei,3,3,0,6,0,0,0,6
15.1076,100.907,Lop Buri,1,2,0,3,0,0,0,3
18.8111,98.0304,Mae Hong Son,4,1,0,5,0,0,0,5
15.9997,103.166,Maha Sarakham,1,0,1,1,0,1,1,2
16.5628,104.517,Mukdahan,3,1,0,4,0,0,0,4
14.2171,101.171,Nakhon Nayok,3,1,1,4,1,0,0,5
13.925,100.103,Nakhon Pathom,35,23,8,66,0,0,0,66
17.3848,104.429,Nakhon Phanom,0,2,0,2,0,0,0,2
14.9574,102.11,Nakhon Ratchasima,10,16,0,26,0,0,0,26
15.6826,100.152,Nakhon Sawan,6,5,0,11,0,0,0,11
8.37944,99.7875,Nakhon Si Thammarat,6,7,2,15,0,0,1,15
18.85,100.835,Nan,0,1,0,0,1,0,0,1
6.17754,101.719,Narathiwat,34,10,0,44,0,0,2,44
17.1817,102.302,Nong Bua Lamphu,1,3,0,4,0,0,0,4
17.9406,102.834,Nong Khai,1,2,1,4,0,0,0,4
13.9242,100.393,Nonthaburi,122,94,64,188,50,42,1,280
14.0651,100.682,Pathum Thani,31,34,0,57,14,0,1,71
6.73053,101.35,Pattani,64,30,0,94,0,0,1,94
8.67306,98.4183,Phangnga,1,1,0,2,0,0,0,2
7.51586,100.069,Phatthalung,8,6,0,14,0,0,0,14
19.2346,100.191,Phayao,1,3,0,4,0,0,1,4
16.2775,101.148,Phetchabun,3,1,0,3,1,0,0,4
12.9471,99.6188,Phetchaburi,9,13,3,25,0,0,0,25
16.2598,100.343,Phichit,5,3,0,5,3,0,0,8
16.981,100.545,Phitsanulok,2,4,0,6,0,0,0,6
14.3453,100.527,Phra Nakhon Si Ayutthaya,4,5,3,12,0,0,1,12
18.1995,100.065,Phrae,1,0,0,1,0,0,0,1
7.96523,98.3463,Phuket,99,132,0,187,44,0,3,231
14.0481,101.65,Prachin Buri,6,5,0,11,0,0,1,11
11.9443,99.6341,Prachuap Khiri Khan,10,8,0,9,9,0,2,18
9.96766,98.6964,Ranong,0,0,1,1,0,0,0,1
13.5352,99.5784,Ratchaburi,7,9,7,23,0,0,0,23
12.8543,101.428,Rayong,10,28,304,267,25,50,0,342
15.9198,103.814,Roi Et,1,2,0,3,0,0,0,3
13.7873,102.323,Sa Kaeo,3,7,2,12,0,0,0,12
17.3898,103.824,Sakon Nakhon,0,1,0,1,0,0,0,1
13.5965,100.71,Samut Prakan,181,135,63,306,60,13,4,379
13.5703,100.212,Samut Sakhon,28,42,2801,270,487,2114,0,2871
13.3961,99.9531,Samut Songkhram,9,5,3,17,0,0,0,17
14.6266,101.017,Saraburi,4,9,3,16,0,0,0,16
6.84542,99.9269,Satun,19,1,0,20,0,0,0,20
14.8565,104.369,Sing Buri,0,1,0,1,0,0,0,1
14.9125,100.347,Sisaket,3,5,0,8,0,0,0,8
6.93439,100.545,Songkhla,93,43,0,71,65,0,0,136
17.2628,99.711,Sukhothai,1,3,0,4,0,0,0,4
14.6131,99.8912,Suphan Buri,3,4,1,8,0,0,0,8
9.05316,99.0917,Surat Thani,12,9,0,17,4,0,0,21
14.8858,103.656,Surin,5,5,1,11,0,0,1,11
16.7166,98.7925,Tak,12,11,7,16,14,0,0,30
7.54462,99.5945,Trang,2,6,0,7,1,0,0,8
12.316,102.522,Trat,0,0,23,8,3,12,0,23
15.1835,105.112,Ubon Ratchathani,9,7,1,17,0,0,0,17
17.4245,102.863,Udon Thani,6,5,0,10,1,0,0,11
15.3502,99.4782,Uthai Thani,0,1,0,1,0,0,0,1
17.7451,100.515,Uttaradit,3,3,0,6,0,0,0,6
6.19086,101.229,Yala,98,37,0,135,0,0,2,135
15.896,104.338,Yasothon,1,0,0,1,0,0,0,1
